No,Wolof,Français,Traduction,Score_Final
83,Ko yaab iow!,Tu qui on se moques là,Tu exagères !,0.108
84,Am ngeu melokane deh!,Ah ouais t'es comme çà toi!,Tu es vraiment incroyable !,0.320
85,Dama taxaw!,Je suis debout!,Je suis debout !,1.000
86,Dama invité sama gel,J'ai invité ma petite copine,J'ai invité ma copine.,0.767
87,Yomb na,C’est très bon marché,C'est facile.,0.377
88,Bare na,C’est trop cher,Il y en a beaucoup.,0.356
89,Ba beneen yoon inch Allah,A la prochaine si Dieu le veut,"À la prochaine fois, si Dieu le veut.",0.788
90,Degg nga Français,Parlez-vous Français,Comprenez-vous le Français ?,0.793
91,Deedeet jërëjëf,Non merci,"Non, merci.",1.000
92,Amul solo,De rien,Cela n'a pas d'importance.,0.283
93,Niokobok,Je vous en prie,Nous sommes ensemble.,0.240
94,Li lan la,Qu’est-ce que c’est ?,Qu'est-ce que c'est ?,1.000
95,Dema fe ñëw wakansu,Je suis ici en vacances,Je suis en train de venir.,0.572
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Je suis venu ici pour travailler.,0.809
97,Demay Xool rek,Je ne fais que regarder,Je regarde juste.,0.440
98,Dama bëgga dem,Je voudrais aller,Je veux partir.,0.444
99,Ndax mën naa fi luwe,Je voudrais louer,Est-ce que je peux louer ici ?,0.592
100,Neex na torop,C’était délicieux,C'est très bon.,0.381
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Que me demandes-tu ?,0.705
102,Du ma lek yapp,Je suis végétarien,Je mange de la viande.,0.401
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je ne veux pas de piment.,0.573
104,Tang na,C’est trop chaud,Il fait chaud.,0.483
105,Sama yaram nangu wu ko,Je suis allergique,Mon corps ne l'accepte pas.,0.297
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Donne-moi de l'eau que je boive.,0.707
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je veux voir un docteur.,0.495
108,Wootel doctor,Appelez un médecin,Le médecin est arrivé.,0.553
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je suis malade.,0.304
111,Fi moy meeti,J’ai mal ici,C'est douloureux.,0.236
112,Ana wanak wi ?,Où sont les toilettes ?,Où est le bain ?,0.644
113,Wollu !,A l’aide !,Salut !,0.287
114,Dema reer,Je suis perdu(e),Je me suis perdu.,0.802
115,sama Dom leuh,c'est mon fils,C'est mon enfant.,0.725
116,Yàlla,Dieu,Dieu.,1.000
117,Taax,Bâtiment,Baguette,0.462
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Réfléchis.,0.293
120,Mayma ndox,Donne moi de l'eau,Donne moi de l'eau.,1.000
121,Dama feebar,Je suis malade,Je suis malade.,1.000
122,Maa ngi dem marse,Je pars au marché,Je vais au marché.,0.725
123,Loy def ?,Tu fais quoi ?,Que fais-tu ?,0.680
124,Dama jaxasoo,Je suis confus,Je suis confus.,1.000
125,Maa ngi ci buro bi,Je suis au bureau,Je suis au bureau.,1.000
126,Dama sedd,J'ai froid,J'ai froid.,1.000
127,Dama tàng,J'ai chaud,J'ai chaud.,1.000
128,Dafa tàng,Il fait chaud,Il fait chaud.,1.000
129,Dafa sedd,Il fait froid,Il fait froid.,1.000
130,Mu ngi taw,Il pleut,Il pleut.,1.000
131,Jamonoy taw la!,C'est la saison des pluies!,C'est la saison des pluies !,1.000
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Après la pluie, le climat est agréable.",0.653
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les rues de Dakar sont inondées à cause de la pluie.,1.000
134,Danu wara wut pexe,Nous devons trouver un plan,Nous devons trouver une solution.,0.744
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je veux me lancer dans l'agriculture.,0.675
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,J'aurais dû aller à la réunion.,0.406
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,"Aujourd'hui, j'ai rencontré X.",0.795
138,Diote nga sama yobanté ?, Tu as eu mon message ?,As-tu reçu mon message ?,0.783
