No,Wolof,Français,Traduction,Score_Final
91,Deedeet jërëjëf,Non merci,"Non, merci.",1.000
92,Amul solo,De rien,Ce n'est pas grave.,0.378
93,Niokobok,Je vous en prie,Nous sommes ensemble.,0.240
94,Li lan la,Qu’est-ce que c’est ?,Qu'est-ce que c'est ?,1.000
95,Dema fe ñëw wakansu,Je suis ici en vacances,Je veux venir en vacances.,0.550
96,Dema fe ñëw ngir ligey,Je suis ici pour le travail,Je veux venir pour travailler.,0.509
97,Demay Xool rek,Je ne fais que regarder,Je vais juste regarder.,0.594
98,Dama bëgga dem,Je voudrais aller,Je veux partir.,0.444
99,Ndax mën naa fi luwe,Je voudrais louer,Est-ce que je peux enlever quelque chose ici ?,0.340
100,Neex na torop,C’était délicieux,C'est très bon.,0.381
101,Lo may digël ?,Qu’est-ce que vous me recommandez ?,Que m'as-tu autorisé ?,0.544
102,Du ma lek yapp,Je suis végétarien,Je ne mange pas de viande.,0.331
103,Bëggu ma kaani,Sans épice (Je n’aime pas les épices),Je veux du piment.,0.362
104,Tang na,C’est trop chaud,Il fait chaud.,0.483
105,Sama yaram nangu wu ko,Je suis allergique,Mon corps accepte cela.,0.301
106,May ma ndox ma naan,Offrez-moi de l’eau à boire,Donne-moi de l'eau à boire.,0.804
107,Dama bëgg giss doktoor,J’ai besoin de voir un médecin,Je veux voir le docteur.,0.495
108,Wootel doctor,Appelez un médecin,Appelle le docteur.,0.600
109,Ana hoppital ?,Où est l’hôpital ?,Où est l'hôpital ?,1.000
110,Dama feebar,Je ne me sens pas très bien,Je suis malade.,0.304
111,Fi moy meeti,J’ai mal ici,"Ici, c'est difficile.",0.550
112,Ana wanak wi ?,Où sont les toilettes ?,Où est la marmite ?,0.654
113,Wollu !,A l’aide !,Secours !,0.158
114,Dema reer,Je suis perdu(e),J'ai mangé.,0.300
115,sama Dom leuh,c'est mon fils,C'est mon enfant.,0.725
116,Yàlla,Dieu,Dieu,1.000
117,Taax,Bâtiment,Quartier,0.462
118,Keur,Maison,Maison,1.000
119,Xalaat,Penser,Réflexion,0.387
120,Mayma ndox,Donne moi de l'eau,Donne-moi de l'eau.,0.673
121,Dama feebar,Je suis malade,Je suis malade.,1.000
122,Maa ngi dem marse,Je pars au marché,Je vais au marché.,0.725
123,Loy def ?,Tu fais quoi ?,Que fais-tu ?,0.680
124,Dama jaxasoo,Je suis confus,Je suis confus.,1.000
125,Maa ngi ci buro bi,Je suis au bureau,Je suis au bureau.,1.000
126,Dama sedd,J'ai froid,J'ai froid.,1.000
127,Dama tàng,J'ai chaud,J'ai chaud.,1.000
128,Dafa tàng,Il fait chaud,Il fait chaud.,1.000
129,Dafa sedd,Il fait froid,Il fait froid.,1.000
130,Mu ngi taw,Il pleut,Il pleut.,1.000
131,Jamonoy taw la!,C'est la saison des pluies!,C'est la saison des pluies !,1.000
132,Ginaaw taw bi klimaa bi dafay neex,Après la pluie vient le beau temps,"Après la pluie, le climat devient agréable.",0.699
133,Mbeddi Ndakaar yi dañu fees ndax taw bi,Les rues de Dakar sont inondées à cause de la pluie,Les rues de Dakar sont pleines à cause de la pluie.,0.846
134,Danu wara wut pexe,Nous devons trouver un plan,Nous devons chercher une solution.,0.573
135,Dama beug yengou ci mbay mi, Je veux entreprendre dans l'agriculture,Je veux me détendre dans le champ.,0.593
136,Warone na dem ci ndadjé bi, Je devais me rendre à cette rencontre,Il doit aller à la réunion.,0.360
137,Tay tassé na ak X, Aujourd'hui j'ai croisé X,"Aujourd'hui, il s'est disputé avec X.",0.645
138,Diote nga sama yobanté ?, Tu as eu mon message ?,Peux-tu me rendre un service ?,0.474
